age,income,debt_ratio,credit_score,months_employed,num_credit_lines,num_late_payments,loan_amount,savings_balance,employment_type,default
60,111418.44,0.1904,702.0,326,5,0,21.65,55.04,全职,0
50,48078.67,0.1533,764.0,350,8,3,12.59,59.04,自雇,0
36,51201.17,0.2454,737.0,50,5,4,8.83,25.48,全职,0
64,30525.86,0.1,654.0,80,4,1,13.14,280.92,全职,0
29,33199.39,0.2761,743.0,35,5,0,15.34,107.54,全职,0
42,16346.07,0.4338,656.0,66,3,0,18.08,58.74,全职,0
60,50391.51,0.4135,657.0,128,5,0,21.85,32.5,全职,0
40,171586.81,0.2234,670.0,154,5,3,32.08,23.72,全职,0
44,29457.1,0.1343,672.0,244,4,1,15.64,81.28,全职,0
32,217096.77,0.5101,713.0,110,2,1,55.91,34.0,全职,0
32,99421.7,0.1624,646.0,167,4,2,19.48,62.41,全职,1
45,38684.94,0.542,724.0,141,4,1,42.08,8.17,自雇,0
57,49693.65,0.0898,724.0,355,1,1,15.74,32.14,兼职,0
61,45818.8,0.773,697.0,196,8,2,180.36,48.96,自雇,0
45,115045.39,0.4146,777.0,108,4,1,29.19,143.71,兼职,1
24,63481.76,0.1945,744.0,78,10,1,74.31,21.71,全职,0
43,88520.29,0.1304,733.0,160,6,0,11.53,12.36,全职,1
23,58634.93,0.0937,683.0,18,3,0,14.05,85.18,全职,0
45,46351.72,0.3875,698.0,126,6,1,16.42,51.21,全职,0
51,57711.5,0.4107,706.0,204,4,2,145.24,9.76,全职,0
59,39995.73,0.1552,681.0,28,3,2,16.94,10.26,兼职,0
23,23715.83,0.1543,661.0,206,2,0,10.39,28.59,全职,0
42,73632.68,0.2416,560.0,279,3,1,56.87,50.21,自雇,1
54,23142.31,0.2731,716.0,150,5,1,21.05,219.05,全职,0
33,42855.23,0.0988,732.0,239,3,2,16.87,18.52,兼职,0
43,39342.78,0.4801,622.0,265,4,1,12.33,93.58,全职,0
46,67621.21,0.3224,710.0,181,3,3,29.7,7.68,全职,0
48,107189.36,0.2777,650.0,104,6,0,47.0,78.33,自雇,0
63,89543.99,0.4551,662.0,235,5,1,37.73,246.31,全职,0
49,68611.3,0.2849,746.0,172,5,1,13.69,62.91,全职,0
37,35777.13,0.1917,630.0,157,4,3,9.11,27.99,全职,1
36,44723.99,0.2941,630.0,171,4,3,0.81,187.27,全职,1
24,41579.53,0.3579,770.0,310,6,1,9.43,77.39,全职,0
58,38748.96,0.1382,673.0,156,4,1,14.91,63.66,全职,0
28,40085.68,0.3296,742.0,257,6,1,19.16,19.73,全职,0
42,39554.35,0.284,600.0,163,4,1,16.17,78.55,全职,0
30,38688.08,0.4008,604.0,146,5,1,188.8,27.53,全职,0
60,78900.39,0.3409,634.0,153,5,1,29.76,74.55,兼职,0
39,28931.36,0.4584,656.0,37,4,0,7.46,57.31,兼职,0
25,34039.03,0.0879,610.0,130,5,0,33.94,161.44,全职,1
46,22209.97,0.0475,698.0,357,3,1,27.47,30.69,全职,0
35,99482.94,0.4849,702.0,254,4,2,8.67,47.02,全职,1
