customer_id,age_group,income_level,occupation,risk_tolerance,transaction_date,transaction_month,products,product_categories,total_amount
C0220,41-45,高,企业职员,稳健型,2025-06-12,2025-06,"年金,住房贷款","保障类,信贷类",59487
C0217,36-40,中,企业职员,保守型,2025-07-24,2025-07,"活期存款,信用卡","存款类,信贷类",123064
C0363,46-50,高,公务员,进取型,2025-01-21,2025-01,"基金,信用卡,活期存款","投资类,信贷类,存款类",584845
C0426,46-50,中,公务员,稳健型,2025-06-03,2025-06,"大额存单,保险","存款类,保障类",62250
C0472,31-35,中,企业职员,保守型,2025-11-01,2025-11,"住房贷款,国债,大额存单","信贷类,投资类,存款类",228002
C0327,41-45,高,个体户,进取型,2025-03-27,2025-03,"股票,活期存款,信用卡","投资类,存款类,信贷类",510210
C0454,31-35,低,企业职员,进取型,2025-07-17,2025-07,"股票,定期存款,保险,理财产品","投资类,存款类,保障类,投资类",355955
C0294,36-40,中,公务员,稳健型,2025-02-28,2025-02,"活期存款,年金,定期存款","存款类,保障类,存款类",73386
C0383,41-45,中,企业职员,稳健型,2025-03-09,2025-03,"股票,定期存款,信用卡,年金","投资类,存款类,信贷类,保障类",299139
C0097,41-45,高,企业职员,稳健型,2025-02-11,2025-02,"活期存款,贵金属,信用卡","存款类,投资类,信贷类",432868
C0476,36-40,低,个体户,保守型,2025-10-24,2025-10,"贵金属,信用卡,理财产品","投资类,信贷类,投资类",178884
C0042,25-30,中,企业职员,保守型,2025-11-12,2025-11,"信用卡,大额存单,消费贷款","信贷类,存款类,信贷类",159281
C0260,31-35,高,企业职员,稳健型,2025-09-03,2025-09,"活期存款,保险,理财产品,住房贷款","存款类,保障类,投资类,信贷类",407947
C0412,25-30,中,企业职员,进取型,2025-04-12,2025-04,"信托,活期存款,保险,信用卡,理财产品","投资类,存款类,保障类,信贷类,投资类",358869
C0486,25-30,低,个体户,稳健型,2025-05-14,2025-05,"理财产品,股票,信用卡","投资类,投资类,信贷类",173043
C0476,36-40,低,个体户,保守型,2025-10-13,2025-10,"保险,信用卡","保障类,信贷类",51119
C0180,41-45,高,企业职员,进取型,2025-02-03,2025-02,"基金,保险","投资类,保障类",225220
C0150,36-40,低,企业职员,保守型,2025-09-30,2025-09,"基金,住房贷款,贵金属,活期存款","投资类,信贷类,投资类,存款类",275239
C0423,36-40,高,企业职员,进取型,2025-07-20,2025-07,"住房贷款,活期存款,基金","信贷类,存款类,投资类",537536
C0143,46-50,中,个体户,进取型,2025-07-10,2025-07,保险,保障类,64205
C0484,36-40,中,个体户,进取型,2025-02-08,2025-02,"活期存款,信用卡,贵金属,定期存款","存款类,信贷类,投资类,存款类",156576
C0328,31-35,高,企业职员,进取型,2025-07-09,2025-07,"住房贷款,活期存款","信贷类,存款类",190991
C0344,41-45,中,企业职员,进取型,2025-09-27,2025-09,"理财产品,信用卡,保险,外汇,活期存款","投资类,信贷类,保障类,投资类,存款类",463399
C0398,36-40,高,个体户,进取型,2025-04-30,2025-04,"股票,活期存款,理财产品","投资类,存款类,投资类",539419
C0227,36-40,高,自由职业,稳健型,2025-11-30,2025-11,"活期存款,信用卡,贵金属","存款类,信贷类,投资类",629087
C0127,36-40,低,自由职业,稳健型,2025-09-12,2025-09,定期存款,存款类,26441
C0325,31-35,低,公务员,稳健型,2025-10-31,2025-10,"信托,活期存款,消费贷款,保险","投资类,存款类,信贷类,保障类",575096
C0076,25-30,中,公务员,稳健型,2025-06-23,2025-06,"贵金属,消费贷款,基金,信托","投资类,信贷类,投资类,投资类",647319
C0028,31-35,低,企业职员,保守型,2025-09-17,2025-09,"基金,保险","投资类,保障类",22139
C0439,25-30,低,退休人员,稳健型,2025-12-27,2025-12,"保险,活期存款,大额存单","保障类,存款类,存款类",37407
C0218,41-45,高,公务员,稳健型,2025-10-10,2025-10,大额存单,存款类,32463
C0291,41-45,低,企业职员,稳健型,2025-08-25,2025-08,"贵金属,国债,信用卡","投资类,投资类,信贷类",157543
C0295,41-45,低,个体户,稳健型,2025-12-07,2025-12,"定期存款,理财产品","存款类,投资类",94899
C0017,31-35,中,企业职员,进取型,2025-12-10,2025-12,"信用卡,国债,活期存款","信贷类,投资类,存款类",258347
C0045,36-40,中,自由职业,保守型,2025-01-01,2025-01,"保险,信用卡","保障类,信贷类",57498
C0445,36-40,中,企业职员,进取型,2025-08-28,2025-08,"保险,消费贷款","保障类,信贷类",212397
C0174,36-40,中,企业职员,稳健型,2025-12-09,2025-12,"信用卡,活期存款,理财产品","信贷类,存款类,投资类",386681
C0420,25-30,中,企业职员,稳健型,2025-03-23,2025-03,贵金属,投资类,166971
C0332,46-50,中,企业职员,进取型,2025-08-31,2025-08,"消费贷款,保险","信贷类,保障类",117901
C0331,31-35,低,自由职业,保守型,2025-09-23,2025-09,"活期存款,大额存单,保险","存款类,存款类,保障类",145413
C0387,46-50,中,退休人员,稳健型,2025-12-16,2025-12,活期存款,存款类,12862
C0321,36-40,高,公务员,保守型,2025-11-07,2025-11,"活期存款,基金,理财产品","存款类,投资类,投资类",824973
C0284,25-30,低,公务员,保守型,2025-10-04,2025-10,"基金,保险,定期存款","投资类,保障类,存款类",171071
C0451,46-50,高,公务员,稳健型,2025-07-14,2025-07,"信用卡,基金,理财产品,国债","信贷类,投资类,投资类,投资类",1025785
C0167,25-30,低,企业职员,保守型,2025-10-17,2025-10,"基金,活期存款","投资类,存款类",118058
C0148,25-30,低,企业职员,稳健型,2025-10-02,2025-10,保险,保障类,18658
C0476,36-40,低,个体户,保守型,2025-05-06,2025-05,"活期存款,信用卡,基金","存款类,信贷类,投资类",176239
