| Page | Lines | Max chars | List items | Nested | Paragraph | Rating | Status |
|------|-------|-----------|------------|--------|-----------|--------|--------|
| 1 | 51 | 71 | 0 | 0 | 51 | High | BAD |
| 2 | 4 | 15 | 0 | 0 | 4 | High | BAD |
| 3 | 6 | 29 | 5 | 0 | 1 | Low | OK |
| 4 | 1 | 9 | 0 | 0 | 1 | Low | OK |
| 5 | 10 | 56 | 4 | 0 | 4 | High | BAD |
| 6 | 9 | 41 | 0 | 0 | 9 | High | BAD |
| 7 | 10 | 19 | 8 | 1 | 2 | High | BAD |
| 8 | 1 | 8 | 0 | 0 | 1 | Low | OK |
| 9 | 8 | 24 | 4 | 0 | 3 | Med | WARN |
| 10 | 11 | 94 | 4 | 0 | 5 | High | BAD |
| 11 | 8 | 66 | 2 | 0 | 6 | High | BAD |
| 12 | 1 | 9 | 0 | 0 | 1 | Low | OK |
| 13 | 9 | 58 | 3 | 0 | 3 | High | BAD |
| 14 | 8 | 26 | 5 | 0 | 2 | Med | WARN |
| 15 | 9 | 27 | 7 | 1 | 2 | High | BAD |
| 16 | 1 | 8 | 0 | 0 | 1 | Low | OK |
| 17 | 11 | 76 | 0 | 0 | 11 | High | BAD |
| 18 | 10 | 101 | 3 | 0 | 7 | High | BAD |
| 19 | 9 | 22 | 5 | 0 | 3 | High | BAD |
| 20 | 1 | 11 | 0 | 0 | 1 | Low | OK |
| 21 | 6 | 40 | 0 | 0 | 6 | High | BAD |
| 22 | 13 | 85 | 0 | 0 | 13 | High | BAD |
| 23 | 11 | 23 | 8 | 1 | 2 | High | BAD |
| 24 | 13 | 14 | 11 | 1 | 2 | High | BAD |
| 25 | 1 | 4 | 0 | 0 | 1 | Low | OK |
| 26 | 11 | 28 | 6 | 0 | 2 | High | BAD |
| 27 | 10 | 27 | 6 | 0 | 2 | High | BAD |
| 28 | 6 | 22 | 0 | 0 | 6 | High | BAD |
