| 1 | 51 | 71×Ö·û | 0 | 0 | 51 | High | ¸ß | Î£ÏÕ 
| 2 | 4 | 15×Ö·û | 0 | 0 | 4 | High | ¸ß | Î£ÏÕ 
| 3 | 6 | 29×Ö·û | 5 | 0 | 1 | Low | ¸ß | Î£ÏÕ 
| 4 | 1 | 9×Ö·û | 0 | 0 | 1 | Low | ¸ß | Î£ÏÕ 
| 5 | 10 | 56×Ö·û | 4 | 0 | 4 | High | ¸ß | Î£ÏÕ 
| 6 | 9 | 41×Ö·û | 0 | 0 | 9 | High | ¸ß | Î£ÏÕ 
| 7 | 10 | 19×Ö·û | 8 | 1 | 2 | High | ¸ß | Î£ÏÕ 
| 8 | 1 | 8×Ö·û | 0 | 0 | 1 | Low | ¸ß | Î£ÏÕ 
| 9 | 8 | 24×Ö·û | 4 | 0 | 3 | Med | ¸ß | Î£ÏÕ 
| 10 | 11 | 94×Ö·û | 4 | 0 | 5 | High | ¸ß | Î£ÏÕ 
| 11 | 8 | 66×Ö·û | 2 | 0 | 6 | High | ¸ß | Î£ÏÕ 
| 12 | 1 | 9×Ö·û | 0 | 0 | 1 | Low | ¸ß | Î£ÏÕ 
| 13 | 9 | 58×Ö·û | 3 | 0 | 3 | High | ¸ß | Î£ÏÕ 
| 14 | 8 | 26×Ö·û | 5 | 0 | 2 | Med | ¸ß | Î£ÏÕ 
| 15 | 9 | 27×Ö·û | 7 | 1 | 2 | High | ¸ß | Î£ÏÕ 
| 16 | 1 | 8×Ö·û | 0 | 0 | 1 | Low | ¸ß | Î£ÏÕ 
| 17 | 11 | 76×Ö·û | 0 | 0 | 11 | High | ¸ß | Î£ÏÕ 
| 18 | 10 | 101×Ö·û | 3 | 0 | 7 | High | ¸ß | Î£ÏÕ 
| 19 | 9 | 22×Ö·û | 5 | 0 | 3 | High | ¸ß | Î£ÏÕ 
| 20 | 1 | 11×Ö·û | 0 | 0 | 1 | Low | ¸ß | Î£ÏÕ 
| 21 | 6 | 40×Ö·û | 0 | 0 | 6 | High | ¸ß | Î£ÏÕ 
| 22 | 13 | 85×Ö·û | 0 | 0 | 13 | High | ¸ß | Î£ÏÕ 
| 23 | 11 | 23×Ö·û | 8 | 1 | 2 | High | ¸ß | Î£ÏÕ 
| 24 | 13 | 14×Ö·û | 11 | 1 | 2 | High | ¸ß | Î£ÏÕ 
| 25 | 1 | 4×Ö·û | 0 | 0 | 1 | Low | ¸ß | Î£ÏÕ 
| 26 | 11 | 28×Ö·û | 6 | 0 | 2 | High | ¸ß | Î£ÏÕ 
| 27 | 10 | 27×Ö·û | 6 | 0 | 2 | High | ¸ß | Î£ÏÕ 
| 28 | 6 | 22×Ö·û | 0 | 0 | 6 | High | ¸ß | Î£ÏÕ 
