客户ID,年龄,收入等级,产品,开通日期
C0001,37,低,储蓄账户,2023-01-05
C0001,37,低,信用卡,2023-06-30
C0001,37,低,基金,2023-08-03
C0002,36,中,储蓄账户,2023-01-19
C0002,36,中,信用卡,2023-06-18
C0002,36,中,理财产品,2023-07-18
C0003,22,中,信用卡,2023-04-03
C0003,22,中,基金,2023-08-31
C0003,22,中,理财产品,2023-10-29
C0004,28,中,储蓄账户,2023-02-06
C0004,28,中,基金,2023-08-10
C0004,28,中,理财产品,2023-09-07
C0004,28,中,贷款,2024-08-03
C0005,62,中,储蓄账户,2023-02-09
C0005,62,中,保险,2023-09-07
C0005,62,中,基金,2023-09-12
C0006,36,高,储蓄账户,2023-02-17
C0006,36,高,信用卡,2023-06-18
C0006,36,高,保险,2023-11-15
C0006,36,高,贷款,2024-03-13
C0007,65,中,储蓄账户,2023-03-10
C0007,65,中,保险,2023-10-08
C0007,65,中,贷款,2024-05-05
C0008,25,低,储蓄账户,2023-03-17
C0008,25,低,信用卡,2023-04-17
C0008,25,低,基金,2023-07-19
C0008,25,低,保险,2024-01-16
C0009,47,高,储蓄账户,2023-03-28
C0009,47,高,基金,2023-06-26
C0009,47,高,保险,2023-11-27
C0010,59,中,储蓄账户,2023-04-13
C0010,59,中,信用卡,2023-06-12
C0010,59,中,保险,2024-04-07
C0010,59,中,贷款,2024-05-08
C0011,49,中,储蓄账户,2023-05-06
C0011,49,中,信用卡,2023-09-04
C0011,49,中,贷款,2024-07-28
C0012,29,中,储蓄账户,2023-05-25
C0013,51,低,储蓄账户,2023-06-03
C0013,51,低,信用卡,2023-10-27
C0013,51,低,理财产品,2023-11-01
C0013,51,低,基金,2024-01-27
C0014,31,中,储蓄账户,2023-06-28
C0014,31,中,理财产品,2023-09-23
C0014,31,中,保险,2024-03-21
C0015,41,低,储蓄账户,2023-07-28
C0015,41,低,信用卡,2023-09-23
C0015,41,低,基金,2023-09-23
C0015,41,低,保险,2023-12-26
C0015,41,低,理财产品,2024-05-22
C0016,35,高,储蓄账户,2023-08-28
C0016,35,高,信用卡,2024-02-24
C0016,35,高,保险,2024-04-21
C0016,35,高,贷款,2024-08-20
C0017,37,低,储蓄账户,2023-09-21
C0017,37,低,理财产品,2023-12-23
C0017,37,低,保险,2024-09-15
C0018,25,低,储蓄账户,2023-09-22
C0018,25,低,基金,2024-05-17
C0019,35,中,储蓄账户,2023-10-09
C0019,35,中,基金,2024-01-05
C0019,35,中,信用卡,2024-04-03
C0019,35,中,保险,2024-08-31
C0019,35,中,贷款,2025-04-03
C0020,51,高,储蓄账户,2023-10-19
C0020,51,高,信用卡,2023-11-19
C0020,51,高,基金,2023-12-19
C0020,51,高,理财产品,2024-07-16
C0020,51,高,保险,2024-07-19
C0021,39,中,储蓄账户,2023-11-02
C0021,39,中,信用卡,2024-03-06
C0021,39,中,理财产品,2024-03-05
C0021,39,中,基金,2024-06-29
C0022,52,低,储蓄账户,2023-11-07
C0022,52,低,基金,2024-02-04
C0022,52,低,信用卡,2024-03-06
C0022,52,低,贷款,2024-05-04
C0022,52,低,保险,2024-09-02
C0023,53,低,储蓄账户,2023-11-30
C0023,53,低,信用卡,2024-02-29
C0023,53,低,保险,2024-03-29
C0024,54,高,储蓄账户,2023-11-27
C0024,54,高,基金,2024-01-30
C0024,54,高,理财产品,2024-03-26
C0024,54,高,贷款,2024-07-29
C0025,58,低,储蓄账户,2023-12-27
C0025,58,低,信用卡,2024-05-27
C0025,58,低,保险,2024-05-26
C0025,58,低,基金,2024-06-25
C0026,35,中,储蓄账户,2024-01-12
C0026,35,中,基金,2024-04-09
C0026,35,中,理财产品,2024-08-11
C0027,26,低,储蓄账户,2024-01-30
C0027,26,低,信用卡,2024-07-01
C0027,26,低,贷款,2024-08-28
C0027,26,低,保险,2025-01-24
C0028,37,中,储蓄账户,2024-02-27
C0028,37,中,信用卡,2024-05-02
C0028,37,中,理财产品,2024-09-28
C0028,37,中,基金,2024-10-26
C0028,37,中,保险,2025-02-26
C0029,57,低,储蓄账户,2024-03-06
C0029,57,低,基金,2024-06-04
